khoa,ten_tour,slug_tour,don_vi,gia_nguoi_lon,gia_tre_em,ghi_chu_tre_em,gia_cao_tuoi,ghi_chu_cao_tuoi,gia_em_be,ghi_chu_em_be,ghi_chu_noi_bo
tour-3-dao-hon-mun-mini-beach-lang-chai,Tour 3 đảo Mini Beach: Hòn Mun - Làng Chài - Mini Beach,tour-3-dao-mini-beach-hon-mun-lang-chai-mini-beach,perPax,800000,560000,,,,,,
tour-hon-tam-tron-goi,Vé Hòn Tằm trọn gói - Tour Hòn Tằm 1 ngày,ve-hon-tam-tron-goi-tour-hon-tam-1-ngay,perPax,540000,430000,,430000,,,,
tour-3-dao-nha-trang-hon-mun-hon-tam,Tour 3 đảo Hòn Mun: Hòn Mun - Làng Chài - Hòn Tằm,tour-3-dao-hon-mun-hon-mun-lang-chai-hon-tam,perPax,850000,600000,,,,,,
ve-hon-tam-seaday-tour-03,Vé Hòn Tằm tắm biển - Tour Hòn Tằm nữa ngày,ve-hon-tam-tam-bien-tour-hon-tam-nua-ngay,perPax,430000,340000,,340000,,,,
ve-hon-tam-tam-tron-goi,(chưa tour nào trỏ tới),,perPax,540000,430000,,430000,,,,"MỒ CÔI — không tour nào dùng, xem DR-062"
tour-3-dao-nha-trang-mini-beach-hon-tam,Tour 3 đảo Vip Nha Trang: Mini Beach - Làng Chài - Hòn Tằm,tour-3-dao-vip-nha-trang-mini-beach-lang-chai-hon-tam,perPax,850000,600000,,,,,,
tour-dao-khi-suoi-hoa-lan,Tour Đảo Khỉ Suối Hoa Lan,tour-dao-khi-suoi-hoa-lan,perPax,730000,510000,,,,,,
ve-hon-tam-tam-bun-tam-bien,Tour Hòn Tằm tắm bùn tắm biển - Vé Hòn Tằm nữa ngày,tour-hon-tam-tam-bun-tam-bien-ve-hon-tam-nua-ngay,perPax,540000,430000,,430000,,,,
tour-1-dao-hon-tam-lan-bien,Tour 1 đảo Hòn Tằm lặn biển sea walker,tour-1-dao-hon-tam-lan-bien-sea-walker,perPax,,,,,,,,
tour-2-dao-hon-mun-hon-tam-buffet,Tour 2 đảo Hòn Mun Hòn Tằm buffet trưa,tour-2-dao-hon-mun-hon-tam-buffet-trua,perPax,,,,,,,,
tour-3-dao-bai-tranh-lang-chai-hon-tam,Tour 3 đảo Nha Trang: Bãi Tranh - Làng Chài - Hòn Tằm,tour-3-dao-nha-trang-bai-tranh-lang-chai-hon-tam,perPax,,,,,,,,
tour-3-dao-deluxe-bai-tranh-vinh-san-ho,Tour 3 đảo Nha Trang Deluxe: Bãi Tranh - Làng Chài - Vịnh San Hô,tour-3-dao-nha-trang-deluxe-bai-tranh-lang-chai-vinh-san-ho,perPax,,,,,,,,
tour-hon-tam-tron-goi-cano-buffet,Tour Hòn Tằm trọn gói: Cano 2 chiều - Tắm bùn - Tắm biển - Buffet,tour-hon-tam-tron-goi-cano-2-chieu-tam-bun-tam-bien-buffet,perPax,,,,,,,,Kiểm xem có trùng sản phẩm với dòng tour-hon-tam-tron-goi không
tour-snorkeling-nha-trang,Tour snorkeling Nha Trang,tour-snorkeling-nha-trang,perPax,,,,,,,,
du-thuyen-emperor-kham-pha-vinh,Tour Du Thuyền Emperor Khám Phá Vịnh Nha Trang,tour-du-thuyen-emperor-kham-pha-vinh-nha-trang,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
du-thuyen-emperor-hoang-hon,Tour Du Thuyền Emperor Ngắm Hoàng Hôn Nha Trang,tour-du-thuyen-emperor-ngam-hoang-hon-nha-trang,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
du-thuyen-marmoris-sunset-chilling,Tour du thuyền Marmoris Sunset Chilling Nha Trang,tour-du-thuyen-marmoris-sunset-chilling-nha-trang,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
du-thuyen-marmoris-tropical-yachting,Tour du thuyền Marmoris Tropical Yachting Nha Trang,tour-du-thuyen-marmoris-tropical-yachting-nha-trang,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
du-thuyen-vega-day-tour,Tour du thuyền Vega Yacht Nha Trang (Day Tour),tour-du-thuyen-vega-yacht-nha-trang-day-tour,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
du-thuyen-vega-sunset-tour,Tour du thuyền Vega Yacht Nha Trang (Sunset Tour),tour-du-thuyen-vega-yacht-nha-trang-sunset-tour,perPax,,,,,,,,DU THUYỀN — bán theo người hay theo chuyến?
ve-vin-harbour,Vé Vin Harbour,ve-vin-harbour,perPax,,,,,,,,
ve-vin-harbour-tata-show,Vé Vin Harbour + Tata Show,ve-vin-harbour-tata-show,perPax,,,,,,,,
ve-vinwonders-2-ngay,Vé Vinwonders Nha Trang 2 ngày không giới hạn,ve-vinwonders-nha-trang-2-ngay-khong-gioi-han,perPax,,,,,,,,
ve-vinwonders-3-ngay,Vé Vinwonders Nha Trang 3 ngày không giới hạn,ve-vinwonders-nha-trang-3-ngay-khong-gioi-han,perPax,,,,,,,,
ve-vinwonders-sau-16h,Vé Vinwonders Nha Trang sau 16:00,ve-vinwonders-nha-trang-sau-16-00,perPax,,,,,,,,
ve-vinwonders-sau-16h-buffet-toi,Vé Vinwonders Nha Trang sau 16:00 + Buffet tối,ve-vinwonders-nha-trang-sau-16-00-buffet-toi,perPax,,,,,,,,
ve-vinwonders-tieu-chuan,Vé Vinwonders tiêu chuẩn,ve-vinwonders-tieu-chuan,perPax,,,,,,,,
ve-vinwonders-tieu-chuan-buffet-350,"Vé Vinwonders tiêu chuẩn + Buffet 350,000 VNĐ",ve-vinwonders-tieu-chuan-buffet-350-000-vnd,perPax,,,,,,,,
ve-vinwonders-tieu-chuan-buffet-500,"Vé Vinwonders tiêu chuẩn + Buffet 500,000 VNĐ",ve-vinwonders-tieu-chuan-buffet-500-000-vnd,perPax,,,,,,,,
